001001:0:  te:  %agira% pu0<vp> na gIryyate duHKena</vp><vkr> gF-bA0 ka</vkr> na0 ta0.(1) svarge.</1><page>vp1_052.pdf</page><column>1</column><br/>
001002:1:  te:  %agirOkas% pu0<vg> agiraH svarga oko vAsasTAnaM yasya.</vg>(1) deve.</1><page>vp1_052.pdf</page><column>1</column><br/>
001003:0:  te:  %agu% pu0<vp> na gOH kiraRo'sya.<vp> (1) rAhugrahe sUryyAlokABAve
001296:0:  te: cAgniH sTito Bavet. citAgnerudvahannAjyaM pakzAByAM
001297:0:  te: tat pravarttitam. mantrEH praSamitA hyete nazwaM muzRanti
001298:3:  te: yajYiyam. bfhadukTastapasEva putro BUmimupASritaH
001299:0:  te: agnihotre hUyamAne pfTivyAM sadBirijyate. raTantaraSca
001300:1:  te: tapasaH putro'gniH paripaWyate. mitravindAya vE tasmE
001301:1:  te: haviraDvaryyavo viduH. mumude paramaprItaH saha putrErmahA
001302:0:  te: yaSAH. 219 a
001303:0:  te: guruBirniyamErjAto Barato nAma pAvakaH. agniH puzwi
001304:0:  te: matirnAma tuzwaH puzwiM prayacCati. Baratyeza prajAH sarvA
001305:0:  te: stato Barata ucyate. agniryaSca Sivo nAma SaktipUjA
001306:0:  te: paraSca saH. duHKArttAnAYca sarvezAM Sivakft satataM SivaH
001307:1:  te: tapasastu PalaM dfzwvA sampravfdDaM tapo mahat. udDartukAmo
001308:1:  te: matimAn putro jajYe purandaraH. UzmA cEvozmaRo jajYe
001309:1:  te: so'gnirBUtezu lakzyate. agniScApi manurnAma prAjApatya
001310:0:  te: makArayat. SamBumagnimaTa prAhurbrAhmaRA vedapAragAH
001311:0:  te: AvasaTyaM dvijAH prAhurddIptamagniM mahApraBam. Urjja
001312:0:  te: skarAn havyavAhAn suvarRasadfSapraBAn. tatastapohyajanayat
001313:0:  te: paYca yajYasutAniha. praSAnto'gnirmahABAga. pariSrAnto
001314:0:  te: gavAmpatiH. asurAn janayan GorAnmartyAMScEva pfTa
001315:2:  te: gviDAn. tapasaSca manuM puttraM BAnuYcApyaNgirAH sfjat
001316:2:  te: bfhadBAnuntu taM prAhurbrAhmaRA vedapAragAH. BAnorBAryyA
001317:1:  te: suprajA tu bfhadBAsA tu sUryyajA. asfjetAntu zaw puttrAn
001318:0:  te: SfRu tezAM prajAviDim. durbbalAnAntu BUtAnAmasUn
001319:0:  te: yaH samprayacCati. tamagniM baladaM prAhuH praTamaM BAnutaH
001320:0:  te: sutam. yaH praSAntezu BUtezu manyurBavati dAruRaH
001321:0:  te: agniH sa manyumAnnAma dvitIyo BAnutaH sutaH. darSe ca
001322:1:  te: pOrRamAse ca yasyeha havirucyate. vizRurnAmeha yo'gnistu
001323:0:  te: DftimAn nAma so'NgirAH. indreRa sahitaM yasya havi
001324:0:  te: rAgrayaRaM smftam. agnirAgrayaRo nAma BAnorevAnvayastu
001325:0:  te: saH. cAturmmAsyezu nityAnAM havizAM yo niragrahaH
001326:0:  te: caturBiH sahitaH puttrErBAnorevAnvayastu saH. niSA tvaja
001327:1:  te: nayat kanyAmagnIzomAvuBO taTA. BAnorevABavadBAryyA
001328:0:  te: suzuve paYca pAvakAn. pUjyate havizAgreRa cAturmmAsyezu
001329:0:  te: pAvakaH. parjanyasahitaH SrImAnagnirvESvAnarastu saH
001330:1:  te: asya lokasya sarvvasya yaH praBuH paripaWyate. so'gni
001331:0:  te: rvviSvapatirnAma dvitIyo vE manoH sutaH. tataH svizwaM
001332:0:  te: BavedAjyaM svizwakft paramastu saH. kanyA sA rohiRI
001333:0:  te: nAma hiraRyakaSipoH sutA. karmmaRA'sO baBO BAryyA
001334:0:  te: sa vahniH sa prajApatiH. prARAnASritya yo dehaM pravartta
001335:0:  te: yati dehinAm. tasya sannihito nAma SabdarUpasya
001336:0:  te: sADanaH. SuklakfzRagatirddevo yo biBartti hutASanam
001337:1:  te: akalmazaH kalmazARAM karttA kroDASritastu saH. kapilaM
001338:0:  te: paramarziYca yamprAhuryatayaH sadA. agniH sa kapilo nAma
001339:0:  te: sANKyayogapravarttakaH. agraM yacCanti BUtAnAM yena BUtAni
001340:0:  te: nityadA. karmmasviha vicitrezu so'graRIrvahnirucyate
001341:1:  te: imAnanyAn samasfjat pAvakAn praTitAn Buvi. agni
001342:1:  te: hotrasya duzwasya prAyaScittArTamulbaRAn. saMspfSeyuryadA
001343:1:  te: 'nyo'nyaM kaTaYcidvAyunA'gnayaH. izwirazwAkapAlena kAryyA
001344:0:  te: vE Sucaye'gnaye. dakziRAgniryadA dvAByAM saMsfjeta tadA
001345:0:  te: kila. izwirazwAkapAlena kAryyA vE vItaye'gnaye
001346:0:  te: yadyagnayo hi spfSyeyurniveSasTA davAgninA. izwirazwA
001347:0:  te: kapAlena kAryyA tu Sucaye'gnaye. agniM rajasvalA vE
001348:0:  te: strI saMspfSedagnihotrikam. izwirazwAkapAlena kAryyA
001349:0:  te: dasyumate'gnaye. mftaH SrUyeta yo jIvaH pareyuH paSavo
001350:0:  te: yadA. izwirazwAkapAlena kAryyA suramate'gnaye. Artto na
001351:0:  te: juhuyAdagniM trirAtraM yastu brAhmaRaH. izwirazwAkapAlena
001352:1:  te: kAryyA syAduttarAgnaye. darSaYca pOrRamAsaYca yasya tizWet
001353:0:  te: pratizWitam. izwirazwAkapAlena kAryyA ratikfte'gnaye
001354:0:  te: sUtikA'gniryadA cAgniM saMspfSedagnihotrikam. izwi
001355:0:  te: razwAkapAlena kAryyA cAgnimate'gnaye. 220 aDyA
001356:0:  te: Apasya duhitA BAryyA sahasya paramA priyA. BUpati
001357:0:  te: rBuvaBarttA cAjanayat pAvakaM param ! BUtAnAYcApi sarvezAM
001358:0:  te: yaM prAhuH pAvakaM patim. AtmA BuvanaBartteti sAnvayezu
001359:0:  te: dvijAtizu. mahatAYcEva BUtAnAM sarvezAmiha yaH patiH
001360:0:  te: BagavAn sa mahAtejA nityaM carati pAvakaH. agni
001361:0:  te: rgfhapatirnAma nityaM yajYezu pUjyate. hutaM vahati yo
001362:0:  te: havyamasya lokasya pAvakaH. apAM garBo mahABAgaH sattva
001363:0:  te: Bugyo mahAdButaH. BUpatirBuvaBarttA ca mahataH patirucyate
001364:1:  te: dahanmftAni BUtAni tasyAgnirBarato'Bavat. agnizwome
001365:0:  te: ca niyataH kratuSrezWo Barasya tu. sa vahniH praTamo nityaM
001366:1:  te: devEranvizyate praBuH. AyAntaM niyataM dfzwvA praviveSArRavaM
001367:1:  te: BayAt. devAstatrADigacCanti mArgamARA yaTAdiSam
001368:0:  te: dfzwvA tvagniraTarvARaM tato vacanamabravIt. devAnAM vaha havyaM
001369:0:  te: tvamahaM vIra ! sudurbbalaH. aTa tvaM gacCa maDvakzaM priyametat
001370:0:  te: kuruzva me. prezya cAgniraTarvARamanyaM deSaM tato'gamat
001371:0:  te: matsyAstasya samAcaKyuH krudDastAnagnirabravIt. BakzyA vE
001372:0:  te: vivaDErBAvErBavizyaTa SarIriRAm. aTarvARaM taTA cApi
001373:0:  te: havyavAho'bravIdvacaH. anunIyamAno hi BfSaM deva
001374:0:  te: vAkyAdDi tena saH. nEcCadvoQuM haviH sarvaM SarIraYcApi
001375:0:  te: so'tyajat. sa tacCarIraM santyajya praviveSa DarAntadA
001376:0:  te: BUmiM spfzwA'sfjadDAtUn pfTak pfTagatIva hi. pUyAt
001377:0:  te: sa ganDaM tejaSca asTiByo devadAru ca. SlezmaRaH sPawikaM
001378:0:  te: tasya pittAnmArakataM taTA. yakft kfzRAyasaM tasya triBi
001379:0:  te: reza praBuH prajAH. naKAstasyABrapawalaM SirAjAlAni
001380:0:  te: vidrumam. SarIrAdviviDAScAnye DAtavo'syABavannfpa!. evaM
001381:0:  te: tyaktvA SarIraYca parame tapasi sTitaH. BfgvaNgirAdiBi
001382:0:  te: rBUyastapasotTApitastadA. BfSaM jajjvAla tejasvI tapasA
001383:0:  te: pyAyitaH SiKI. dfzwvA fziM BayAccApi praviveSa mahA
001384:0:  te: rRavam tasminnazwe jagadBItamaTarvvARamaTASritam.. arccayA
001385:0:  te: mAsurevEnamaTarvvARaM surAdayaH. aTarvvA tvasfjallokA
001386:0:  te: nAtmanAlokya pAvakam. mizatAM sarvvaBUtAnAmunmamATa mahA
001387:2:  te: rRavam. evamagnirBagavatA nazwaH pUrvvamaTarvaRA. AhUtaH
001388:0:  te: sarvaBUtAnAM havyaM vahati sarvadA. evaM tvajanayadDizRyAn
001389:1:  te: vedoktAn viviDAn bahUn. vicaran viviDAn deSAn
001390:0:  te: BramamARastu tatra vE. sinDuM nadaM paYcanadaM devikA'Ta
001391:0:  te: sarasvatI. gaNgA ca SatakumBA ca sarayUrgaRqasAhvayA
001392:0:  te: carmmaRvatI satI cEva BeDyA meDAtiTistadA. tAmrAvatI
001393:0:  te: vetravatI nadyastrisro'Ta kOSikI. tamasA narmadA cEva nadI
001394:5:  te: godAvarI taTA. veRopaveRA BImA ca vaqavA cEva BArata
001395:1:  te: BAratI suprayogA ca kAverI murmurA taTA. tuNgaveRA
001396:1:  te: kfzRaveRA kapilA SoRa eva ca. etA nadyastu DizRyAnAM
001397:2:  te: mAtaro yAH prakIrttitAH. adButasya priyA BAryyA tasya putro
001398:0:  te: viBUrasiH. yAvantaH pAvakAH proktA somAstAvanta eva tu
001399:0:  te: atreScApyanvaye jAtA brahmaRo mAnasAH prajAH. atriH
001400:2:  te: putrAn srazwukAmAMstAnevAtmanyaDArayat. tasya tadbrahmaRaH
001401:0:  te: kAyAnnirharanti hutASanAH. evamete mahAtmAnaH kIrttitA
001402:0:  te: ste'gnayo mayA.. aprameyA yaTotpannAH SrImantastimirA
001403:0:  te: pahAH. adButasya tu mAhAtmyaM yaTA vedezu kIrttitam
001404:0:  te: tAdfSaM vidDi sarvvezAmeko hyeza hutASanaH. eka evEza
001405:0:  te: BagavAn vijYeyaH praTamo'NgirAH. bahuDA niHsftaH
001406:1:  te: kAyAt jyotizwomakraturyyaTA. ityeza vaMSaH sumahAnagnInAM
001407:0:  te: kIrttitomayA. yo'rcito viviDErmantrErhavyaM vahati
001408:0:  te: dehinAm. BA0 va0 mArka0 221 aDyA
001409:0:  te: sAsya devateti-Qak AgneyamagnidevatAke havirAdO tri
001410:1:  te: agninA dfzwaM sAma Qak. AgneyaM sAma. AgneyI fk
001411:0:  te: tri0. (11) agnaye hitaM Qak. AgneyamOzaDam tri
001412:0:  te: lOkikaprayogAnusAreRa<swr> <q>aNgernalopaSceti<q></swr> ORAdikasUtreRa
001413:0:  te: agniSabdasya vyutpattirdarSitA vEdikaprayoge tu agniSabdasya
001414:0:  te: pravfttinimittaBedopayoginyo yAskena bahvyo vyutpattayo
001415:0:  te: darSitAH.</vn><reN> yaTA <q>aTAto'nuktamizyAmo'gniH pfTivIsTAnastaM
001416:0:  te: praTamaM vyAKyAsyAmo'gniH kasmAdagraRIrBavatyagraM yajYezu pra
001417:0:  te: RIyate'NgaM nayati saMnamamAno'knopano BavatIti sTOlA
001418:0:  te: zWIvirna knopayati na snehayati triBya AKyAteByo jAyata
001419:0:  te: iti<q> SAkapURiritAdaktAddagDAdvA nItAtsa KalveterakAra
001420:0:  te: mAdatte gakAramanaktervA dahatervA nIH parastasyEzA BavatIti
001421:0:  te: agnimIle iti<q>. asyAyamarTaH. sAmAnyena sarva
001422:1:  te: devatAnAM lakzaRasyABihitatvAdanantaraM yataH pratipadaM
001423:0:  te: viSezeRa vaktavyatvamAkANkzitamato'nukrameRa vakzyAmaH. tatra
001424:1:  te: pfTivIloke sTito'gniH praTamaM vyAKyAsyate. kasmAt
001425:1:  te: pravfttinimittAdagniSabdena devatABiDIyata ? iti praSnasyA
001426:0:  te: graRIrityAdikamuttaram. devasenAmagre svayaM nayatItya
001427:0:  te: graRIH. etadekamagniSabdasya pravfttinimittam. taTA ca
001428:0:  te: brAhmaRAntaram. <q>agnirvE devAnAM senAnIriti<q>. eta
001429:0:  te: devABipretya bahvfcA mantrabrAhmaRe Amananti. <q>agni
001430:0:  te: rmuKaM praTamo devatAnAmiti<q> mantraH. <q>agnirvE devAnAmavama
001431:2:  te: iti<q> brAhmaRam. taTA tEttirIyAScAmananti. <q>agni
001432:0:  te: ragre praTamo devatAnAmiti<q> mantraH. <q>agniravamo devatAnA
001433:2:  te: miti<q>ca. vAjasaneyinastvevamAmananti. <q>sa vA ezo
001434:0:  te: 'gre devatAnAmajAyata tasmAdagnirnAmeti<q>. yajYezvagniho
001435:0:  te: trezwipaSusomarUpezvagraM pUrvvadigvartyAhavanIyadeSaM prati
001436:0:  te: gArhapatyAtpraRIyata iti dvitIyaM pravfttinimittam. sanna
001437:2:  te: mamAnaH samyak svayameva prahvIBavannaNgaM svakIyaM SarIraM
001438:0:  te: nayati kAzWadAhe haviH pAke ca prerayatIti tftIyaM pravftti
001439:0:  te: nimittam. sTUlAzWIvinAmakasya maharzeH putro nirukta
001440:0:  te: kAraH kaScidaknopana ityagniSabdaM nirvakti. tatra na
001441:0:  te: knopayatItyukte na snehayati kintu kAzWAdikaM rUkzayatItyuktaM
001442:0:  te: Bavati. SAkapURinAmako nirUktakAro DAtutrayAdagni
001443:0:  te: SabdanizpattiM manyate. itaH iR gatO iti DAtuH
001444:1:  te: akto'nju vyaktimnakzaRagatizu iti DAtuH. dagDo daha
001445:0:  te: BasmIkaraRe iti DAtuH. nIto RIY prApaRe iti
001446:0:  te: DAtuH. agniSabdo hyakAragakAraniSabdAnapekzamARa
001447:0:  te: etiDAtorutpannAdayanaSabdAdakAramAdatte. anaktiDAtu
001448:0:  te: gatasya kakArasya gakArAdeSaM kftvA tamAdatte. yadvA dahati
001449:0:  te: DAtujanyAddagDaSabdAdgakAramAdatte. nIriti nayatiDAtuH
001450:0:  te: sa ca hrasvo BUtvA paro Bavati. tato DAtutrayaM mili
001451:0:  te: tvAgniSabdo Bavati. yajYaBUmiM gatvA svakIyamaNgaM nayati
001452:0:  te: kAzWadAhe haviH pAke ca prerayatIti samudAyArTaH. tasyA
001453:0:  te: gniSabdArTasya devatAviSezasya prADAnyena stutidarSanAyEzAgni
001454:2:  te: mIle ityfgBavatIti<q> fgvedaBAzye mADavAcAryyaH
001455:1:  te: etasya vESvanarAdiSabdapravfttinimittadarSanenAnekAstutayo
001456:0:  te: yAskena darSitAstASca tattacCabdAvasare darSayizyante.</reN><page>vp1_052.pdf</page><column>2</column><br/>
001457:2:  te:  %agnika% pu0<vp> agnivat kAyati prakASate</vp><vkr> kE+ka.</vkr> (1)indragopakIwe.</1><page>vp1_058.pdf</page><column>1</column><br/>
001458:0:  te:  %agnikaRa% pu0<vg> agneH kaRaH</vg> 6 ta0.(1) agnicyutakzudrAMSe.</1><page>vp1_058.pdf</page><column>1</column><br/>
001459:0:  te:  %agnikarmman% na0<vg> agnO karmma</vg> 7 ta0.(1) home agnihotrAdO
001460:0:  te: agnikarmma tataH kftveti<q> smftiH . </reN>(2)agnikAryyAdayo'
001461:1:  te: pyatra na0.</2><page>vp1_058.pdf</page><column>1</column><br/>
001462:0:  te:  %agnikalA% strI 6 ta0(1) agneravayavaBede.</1><vn> sA ca daSaviDA tAsAYca
001463:0:  te: yAdilAntavarRadevatAtvaM yaToktaM SAradAtilake.</vn><reN> <q>DUmrA
001464:0:  te: rccirUzmA jvalinI jvAlinI visPuliNginI. suSrIH
001465:0:  te: surUpA kapilA havyakavyavahe api. yAdInAM daSavarRAnAM
001466:0:  te: kalA Darmma pradA amUH<q> iti.</reN><page>vp1_058.pdf</page><column>1</column><br/>
001467:1:  te:  %agnikArikA% strI <vp>agniM karoti ADatte</vp><vkr> karaRe karttf
001468:2:  te: tvopacArAt (karttari )Rvul.</vkr> (1)agnyADAnasADane(2) agnI
001469:0:  te: DrAyAmfci.</2><reN> sA ca agniM dUtaM purodaDe, ityAdyA yaju
001470:0:  te: rvede evamanyavede'pyanusanDeyA.</reN><page>vp1_058.pdf</page><column>1</column><br/>
001471:0:  te:  %agnikAzWa% na0<vp> agneH uddIpanaM kAzWam</vp> SA0 ta0.(1) agurukAzWe.</1><page>vp1_058.pdf</page><column>2</column><br/>
001472:2:  te:  %agnikukkuwa% pu0<vg> agneH kukkuwa iva raktavarRasPuliNgavattvAt
001473:0:  te: jvaladagnivyAptatfRapuYje (nuqA) iti KyAte.</1><page>vp1_058.pdf</page><column>2</column><br/>
001474:0:  te:  %agnikuRqa% na0<vg> agnerADAnArTaM kuRqam.</vg><vn> agnyADAnArTe
001475:0:  te: sTAnaBede tatsTAnavivaraRaM kuRqaSabde'nusanDeyam.</vn><page>vp1_058.pdf</page><column>2</column><br/>
001476:0:  te:  %agnikumAra% pu0 6 ta0.<vn> kArttikeye tasyAgniretojAtatvamuktaM
001477:0:  te: mahABArate vanaparvaRi 223 aDyAye saptarzipatnIrUpadarSanAt
001478:0:  te: jAtasmaravikArasyAgnestezAM gArhapatya-praveSena aniSaM taddarSa
001479:2:  te: nena jAtADikavikAratayAnirvedapUrvvakaM vanagamanamupakramya
001480:0:  te: svAhA taM dakzaduhitA praTamaM kAmayattadA.. sA tasya Cidra
001481:0:  te: manvEcCaccirAt praBfti BAvinI. apramattasya devasya na
001482:0:  te: cApaSyadaninditA.. sA taM jYAtvA yaTAvattu vahniM vanamupA
001483:0:  te: gatam. tattvataH kAmasantaptaM cintayAmAsa BAvinI
001484:0:  te: ahaM saptarzipatnInAM kftvA rUpARi pAvakam. kAmayi
001485:0:  te: zyAmi kAmArttA tAsAM rUpeRa mohitam.. evaNkfte prIti
001486:0:  te: rasya kAmAvAptiSca me Bavet.. 223 aDyA
001487:0:  te: mArkaRqeya uvAca. SivA BAryyA tvaNgirasaH SIlarUpa
001488:0:  te: guRAnvitA. tasyAH sA praTamaM rUpaM kftvA devI janADipa
001489:0:  te: jagAma pApakAByAsaM taYcovAca varANganA.. mAmagne! kAma
001490:0:  te: santaptAM tvaM kAmayitumarhasi. karizyasi na cedevaM mftAM
001491:0:  te: mAmupaDAraya.. ahamaNgiraso BAryyA SivA nAma hutASana
001492:0:  te: SizwABiH prahitA prAptA mantrayitvA viniScayam.. agni
001493:0:  te: ruvAca. kaTaM mAM tvaM vijAnIze kAmArttamitarAH kaTam
001494:0:  te: yAstvayA kIrttitAH sarvvAH saptarzIRAM priyAH striyaH
001495:0:  te: SivovAca. asmAkaM tvaM priyo nityaM biBImastu vayaM tava
001496:0:  te: tvaccittamiNgitErjYAtvA prezitAsmi tavAntikam.. mETunAyeha
001497:0:  te: saMprAptA kAmaM prAptuM drutaM cara. yAtaro mAM pratIkzante
001498:0:  te: gamizyAmi hutASana!.. mArkaRqeya uvAca. tato'gni
001499:0:  te: rupayeme tAM SivAM prItimudAyutaH. prItyA devI samAyuktA
001500:0:  te: SukraM jagrAha pARinA.. vyacintayanmamedaM ye rUpaM drakzyanti
