353501:1:  te:  %Bfti% strI <vkr>Bf-ktin.</vkr> (1)BaraRe (2)pozaRe ca karaRe ktin
353812:0:  te: rAjani0.</reN> (2)meGe medi0 (3) maRqU kaparRyAM strI <vkr>NIp</vkr> amaraH.</3><page>vp6_0308.pdf</page><column>2</column><br/>
353813:0:  te:  %Bekawa% pu0 <vg>Beka iva walati</vg> <vkr>wala-qa .</vkr> (1)matsyaBede dvirUpakozaH.</1><page>vp6_0308.pdf</page><column>2</column><br/>
353814:0:  te:  %Bekani(li)% pu0 (1)(BANgana)matsyaBede rAjava0.</1><page>vp6_0308.pdf</page><column>2</column><br/>
353815:3:  te:  %BekaparRI% strI <vg>Beka parRamasyAH</vg> <vkr>NIp.</vkr> (1)maRqUkaparRyAm</1><page>vp6_0308.pdf</page><column>2</column><br/>
353816:0:  te:  %BekaBuj% pu0 <vg>BekaM BuNkte</vg> <vkr>Buja-kvim.</vkr> (1)sarpe trikA0.</1><page>vp6_0308.pdf</page><column>2</column><br/>
353817:0:  te:  %BekAsana% na0 (1)rudrayAmalokte pUjANge AsanaBede</1> <vn>tallakzaRaM yaTA
353818:1:  te: BekanAmAsanaM yogaM nijavakzasi svaM suKam. niDAya
353819:4:  te: pAdayugalaM skanDe vAhO padopari. DyAyedizwapadaM SrImAn pr
353820:1:  te: AsanasTaH suKAcca tat. yadi sarvANgasuttolya gagane
353821:0:  te: KecarAsanam. mahABekAsanaM proktaM sarvasidDipradAyakam
353822:3:  te: mahAvidyAmahAmantraM prApnoti japatIha yaH<q>.</reN></vn><page>vp6_0308.pdf</page><column>2</column><br/>
353823:1:  te:  %Bekuri% strI (1)apsarorUpe nakzatre</1> <reN><q>suzumaRaH sUryyaraSmiScandramA
353824:0:  te: ganDarvastasya nakzatrARyapsaraso Bekurayo nAma<q> yaju
353825:0:  te: tasya candramasaH nakzatrARi nAma apsarasaH kIdfSyaH Beku
353826:1:  te: rayaH BAM kAntiH kurvantIti BekurayaH pfzodarAditvAtsADuH
353827:1:  te: candramAha ganDarvo nakzatrErapsaroBirmiTunena sahoccakrAma
353828:0:  te: Bekurayo nAmeti Bekurayoha nAmEte BAM hi nakzatrARi
353829:0:  te: kurvantIti<q> Sata0 brA0 9.4. 1. 91. </reN><page>vp6_0309.pdf</page><column>1</column><br/>
353830:1:  te:  %Beqa% pu0 strI0 <vkr>BI-qa tasya nettvam.</vkr> (1)meze(BeNA)hemaca0. <vkr>striyAM NIz.</vkr></1><page>vp6_0309.pdf</page><column>1</column><br/>
353831:1:  te:  %Beqra% pu0 strI0 <vkr>BeNa+pfzo0.</vkr> (1)meze trikA0 <vkr>striyAM NIz.</vkr></1><page>vp6_0309.pdf</page><column>1</column><br/>
353832:2:  te:  %Beda% pu0 <vkr>Bida-GaY.ka</vkr> (1)pfTakkaraRe (2)anyato viSeze rAjYAmu
353833:0:  te: pAyaBede vipakzaSAsanArTaM (3)tatpakzIyAmAtyAdiBedane
353834:0:  te: nyAyamatokte anyo'nyABAve ca</4> <vn>yaTA GawAt pawasya
353835:0:  te: BedaH (tAdAtmyenABAvaH)upAyaBedaBedaprakAro yaTA
353836:0:  te: parasparantu ye dvizwAH krudDaBItAvamAnitAH. tezAM
353837:2:  te: BedaM prayuYjIta paramaM daSeyet Bayam. AtmIyAn darSaye
353838:0:  te: dASAM yena dozeRa viByati. parAstenEva te BedyA
353839:0:  te: rakzyo vE jYAtiBedakaH. sAmantakopo bAhyastu mantrya
353840:1:  te: mAtyAtmajAdikaH. antaHkozaYcopaSAmyaM kurvan SatroSca
353841:1:  te: taM jayet<q>agni pu0 225 a0.</reN></vn> (5)dvEDe (6)vidAraRe medi
353842:0:  te: vireke vEdyakam.</7><page>vp6_0309.pdf</page><column>1</column><br/>
353843:0:  te:  %Bedaka% tri0 <vkr>Bida-Rvul.</vkr> (1)recake (2)vidArake (3)BedakArake
353844:0:  te: viSezaRe ca.</4> <reN><q>strIdArAdyEryadviSezyaM yAdfSEH prastutaM
353845:0:  te: padEH. guRadravyakriyASabdAstaTA syustasya BedakAH<q>amaraH</reN><page>vp6_0309.pdf</page><column>1</column><br/>
353846:1:  te:  %Bedana% tri0 <vkr>Bedayati Bid-Ric-lyu.</vkr> (1)virecane (2)viSezaRe ca
353847:1:  te: hiNgO na0 (4)SUkare (5)amlAvetase ca pu0 rAjani0.</5> <vkr>Bida
353848:0:  te: BAve lyuw.</vkr> (6)vidAraRe (7)dvEDIkaraRe na0.</7><page>vp6_0309.pdf</page><column>1</column><br/>
353849:0:  te:  %Bedita% tri0 <vkr>Bida-Ric-kta .</vkr> (1)vidArite Binne ca <reN><q>AdvayaM
353850:0:  te: hfdaye, SIrze vazaw vOzaw ca maDyame. sa eva Bedito
353851:1:  te: satraH sarvaSAstravivarjitaH<q></reN></2> (3)tantrasArekte mantraBede pu0.</3><page>vp6_0309.pdf</page><column>1</column><br/>
353852:0:  te:  %Bedin% tri0 <vkr>Bida-Rini.</vkr> (1)BedakArake <vkr>striyAM NIp
353853:0:  te: amlavetase pu0 rAjani0.</2><page>vp6_0309.pdf</page><column>1</column><br/>
353854:0:  te:  %Bedura% na0 <vkr>Bidura+pfzo0.</vkr> (1)vajre dvirUpakozaH.</1><page>vp6_0309.pdf</page><column>1</column><br/>
353855:1:  te:  %Bedya% tri0 <vkr>Bida-Kyat.</vkr> (1)SastrAdinA vidAryye (2)viSezye ca
353856:3:  te: trizvesAM BedyAgAmi yat<q>amaraH.</reN> <vn>BedyarogapratizeDaSca
353857:0:  te: suSrute ukto yaTA
353858:4:  te: aTAto BedyarogapratizeDaM vyAKyAsyAmaH. svedayitvA
353859:4:  te: visagranTiM Cidramasya nirASrayam. pakvaM BittvaH tu
353860:0:  te: SastreRa sEnDavenAvacUrRayet. kAsIsamAgaDIpuzpanEpAlye
353861:2:  te: lAyugena tu . tataH kzOdraM DftaM dattvA samyagevasupAcaret
353862:0:  te: rocanAkzAratutTAni pippalyaH kzOdrameva ca. prati
353863:4:  te: sAraRamekEkaM Binne ca gaRa izyate. mahatyapi ca
353864:1:  te: yujjIta kzArAgniviDikIvidaH. svinnAM BinnAM vini
353865:1:  te: zpIqya BizagajjananAmikAm. SilElAnatasinDUtTE
353866:3:  te: H sakzOdrEH pritisArayet. rasAjjanamaDuByAM vA BinnAM vA
353867:5:  te: Sastrakamevit. pratisAryyAjjanEryujjyAduzRErdIpaSiKo
353868:0:  te: dBavEH. samyaksvinne kfmigranTO Binne syAt prati
353869:0:  te: sAraRam. triPalAtutTakAsIsasEnDavEstu rasakriyAm
353870:0:  te: BittvopanAhaM kaPajaM pippalImaDusEnDavEH. leKayenma
353871:3:  te: RqalAgreRa samantAt procCayedapi. saMsnehyA patraBaNgESca
353872:2:  te: KedayitvA yaTAsuKam. ApAkAdviDinoktena paYca
353873:1:  te: BedyAnupAcaret. sarvepvetezu vihitaM viDAnaM sneha
353874:0:  te: pUrvakam. sampakve prayato BatvA kurvIta vraRaropaRam<q>.</reN></vn><page>vp6_0309.pdf</page><column>1</column><br/>
353875:0:  te:  %Bera% pu0 <vkr>BI-ran.</vkr> (1)pawahe saMkziptasA0.</1> <vkr>ujjvaladattena
353876:0:  te: gOrA0 NIz.</vkr> <vn>BerItyevamuktvA BerI dunduBirityuktam.</vn><page>vp6_0309.pdf</page><column>2</column><br/>
353877:7:  te:  %Beri(rI)% strI <vkr>BI-kin vahvyA0 ni0 vA NIz.</vkr> (1)vfhaqaQ
353878:0:  te: kkAyAm. (2)pawahe <reN><q>ravaH pragalBAhataBerisamBavaH
353879:0:  te: kumAraH ujjvaladattaH.</reN> <reN><q>tataH SaNkASca BeryyaSca<q>gItA.</reN><page>vp6_0309.pdf</page><column>2</column><br/>
353880:0:  te:  %BerIsvanamahAsvanA% strI (1)kumArAnucaramAtfBede BA0 Sa0 47 a0</1><page>vp6_0309.pdf</page><column>2</column><br/>
353881:0:  te:  %BeruRqa% na0 (1) garBaDAraRe Sabdara0 (2) BayAnake tri0 (3) devatABede
353882:1:  te: H kAlipu0<reN> <q>mahAviSveSvarI SvetA BeruRqA kulasundarI
353883:0:  te: tatsahasranAma.</reN> (4)yakziRIBede strI Bedi0</4><page>vp6_0309.pdf</page><column>2</column><br/>
353884:0:  te:  %Bela% tri0 <vkr>BI-ra rasya laH.</vkr> (1)pure (2)BIruke (3)nirbudDO (4)muni
353885:0:  te: Bede viSvaH. (5)caYcale Sabdara0. <vkr>svArTe ka.</vkr> (6)Belaka plave
353886:0:  te: uqupe (BelA)Sabdara0.</6><page>vp6_0309.pdf</page><column>2</column><br/>
353887:0:  te:  %Beza% <vkr>(1)Baye</1> BvA0 uBa0 aka0 sew. Bezati te aBezIt aBezizwa
353888:0:  te: fdit caNi ca hrasvaH. aviBezat ta.</vkr><page>vp6_0309.pdf</page><column>2</column><br/>
353889:0:  te:  %Bezaja% na0 <vkr>Beza-GaY</vkr> <vg>BezaM rogaBayaM jayati</vg> <vkr>ji-qa.</vkr> (1)OzaDe
353890:2:  te: H <vkr>svArTe zyaY</vkr> <vn>BEzajya tatrArTe BezajasevanAkAlAdi BAvapra
353891:0:  te: uktaM yaTA
353892:2:  te: aTata BezajaBakzaRasamayaH<q> BEzajyamaByavaharet praBAte
353893:0:  te: prAyaSo vuDaH.</reN> kazAyAMstu viSezeRa tatra Bedastu
353894:2:  te: darSita. jYeyaH paYcaviDaH kAlo BEzajyagrahaRe nfRAm
353895:1:  te: kiYcit sUryyodaye jAte taTA divasaBojane. sAyanta
353896:5:  te: ne Bejane ca muhuSvApi taTA niSi. tatra <reN>praTamakAlaH
353897:0:  te: prAyaH pittakaPodreke virekavamanArTayoH. leKanArTe ca
353898:0:  te: BEzajyaM praBAte'nannamAharet<q>.</reN> <reN>aTa dvitIyakAlaH <q>BEzajyaM
353899:0:  te: viguRe pAne BojanAgre praSasyate. arucO citraBo
353900:1:  te: jyESca mitraM rucirAmAharet. samAnavAte viguRe
353901:1:  te: mande'gnAvatidIpanam. dadyANBojanamaDye ca BEzajyaM
353902:1:  te: kuSalo Bizak. vyAnakope tu BEzajyaM BojanAnte
353903:0:  te: samAharet. hikkAkzepakakampezu pUrvamante ca BojanAt
353904:0:  te: aTa tftIyakAlaH <q>udAne kupite vAte svaraBaNgAdi
353905:0:  te: kAriRi. grAsagrAsAntare deyaM BEzajyaM sAnDya
353906:0:  te: Bojane. prARe praduzwe sAnDyasya BuktasyAnte pradIyate
353907:0:  te: OzaDaM prAyaSo DIrEH kAlo'yaM syAt tftIyakaH
353908:2:  te: aTa caturTakAlaH <q>muhurmuhuSva tfwCarddihikASvAsa
353909:1:  te: garezu ca. sAnnaYca BezajaM dadyAditi kAlaSvaturTakaH
353910:0:  te: aTa paYcamakAlaH <q>UrDvajatruvikArezu leKane vfMhaRe
353911:1:  te: taTA. pAcane Samane deyamanantaM BezajaM niSi<q> iti
353912:2:  te: paYcamakAlaH.</reN> <reN>nirantasya Bezajasya guRamAha <q>vIryyADikaM
353913:1:  te: Bavati BezajamantahInaM hanyAttadAmayamasaMSayamASu
353914:3:  te: cEva. tadbAlavfdDayuvatImfdmiSva pItam glAniM
353915:0:  te: parAM nayati cASu balakzayaYca<q>.</reN> <reN>sAnnasya Bezajasya guRa
353916:2:  te: mAha <q>SIGraM vipAkasupayAti balena hiMsyAdannAvftanna
353917:0:  te: ca muhurvadanAnnireti. etadDitaM sTavirabAlakfSA
353918:0:  te: NganAByaH prAgBojanAdyadaSitaM kila tacca tadvat<q> tadvat
353919:0:  te: annAvftavat Bezajamiti SezaH.</reN> <reN><q>OzaDaSeze BuktaM BojanaSeze
353920:0:  te: yadOzaDaM pItam. na karoti gadopaSamaM prakopayatyanyaro
353921:0:  te: gAMSca<q>.</reN> pItamityupalakzaRaM lIQAdikaYca. <reN><q>anulomo'nilaH
353922:0:  te: svAsTyaM kzuttfzRAsumanaskatAH. laGutvamindriyodgAra
353923:2:  te: SudDijIREzaDAkftiH. klamo dAho'NgasadanaM BramamUrcCA
353924:1:  te: SirorujaH. aratirbalahAniSca BAvaSezOzaDAkftiH
353925:0:  te: aTa BezajaBakzaRaviDimAha carakaH <q>devAn gurUM staTA
353926:0:  te: viprAn pUjayitvA praRamya ca. ASizaSca samAdAya
353927:1:  te: SradDayA BeSajaM Bajet. rasAyanamivarzIRaM devAnA
353928:1:  te: mamftaM yaTA. suGevottamanAgAnAM BEzajyamidamastu
353929:0:  te: te. brahmadakzASvirudrendramUcandrArkAnilAnalAH. devASca
353930:2:  te: sOzaDigrAmA BUmidevASca pAntu vaH. OzaDaM hema
353931:2:  te: rajatamfdBAjanaparisTitam. pibedAptajanasyAgre pranannava
353932:1:  te: danekzaRaH. viSrAntastU paviSyATa pItvA pAtramaDomuKam
353933:1:  te: niHkzipyAcasya salilatAmbUlAdyupayojayet
353934:3:  te: jale (3)suKe ca niGaRwuH. (4)vizRo pu0 <reN><q>nirvARaM
353935:0:  te: BezajaM Bizak<q> vizRu sa0.</reN> <reN>tadBakzaRavihitanakzatrAdikaM
353936:1:  te: jyo0 ta0 ukta yaTA
353937:0:  te: vizRuDarmottare. hariM godvijacandrArkasurAgnIn prati
353938:0:  te: pUjya ca. SfRvan mantramimaM puRyaM vidvAn Bezaja
353939:0:  te: mAraBet. brahmadakzASvirudrendrABUcandrArkAnilAnalAH
353940:0:  te: fzayaScOzaDigrAmABUtasaNGASca pAntu te. rasAyanamiva
353941:0:  te: rzIRAM devAnAmamftaM yaTA. suDevottamanAgAnAM BEzajya
353942:2:  te: midamastu te. svayaMBakzaRe tu te ityatra me iti
353943:2:  te: vadet. aviSezeRa svayaMBakzaRe'pi paWet. <q>dvyaNgodaye
353944:2:  te: gurubuDendusitezu tezAM vAre raveSca suviDo sutiGO
353945:0:  te: suyoge. BezUgrapannagaviSAKaSivetarezu janmarkzavizwi
353946:1:  te: rahitepvagadaH SuBAya<q>.</reN> <reN><q>OzaDakaraRaM citrAyuge viDi
353947:1:  te: yuge mitrayuge laGuzu vAruRavizRO . vastivirecanabeDAH
353948:1:  te: SuBadinatiTicandranagnezu<q>.</reN> vastiScarmapuwaM virecanaM vi
353949:0:  te: rekaH. veDovraRAdiveDaH. <reN><q>pOzRASvinIdraviRaSakrasamendra
353950:1:  te: puzyAhastAditInduharimUluhutASamitrEH, citrAnvitErBfgu
353951:0:  te: buDenduravIjyavAre BEzajyapAnamacirAdapahanti rogAn
353952:3:  te: ratnamAlAyAm dyUnaSatruniDanavyayaSudDO sadzwahezu
353953:1:  te: niratAM balabatsu. AyupaSca hitkAriRi yoge
353954:1:  te: kIrttitA niyatamOzasevA. dyUnAdizu pApayorekzaRa
353955:0:  te: SUnyezu. AyuzmAnityAdiSuBayoge.</reN> <reN>BImaparAkrame
353956:0:  te: BEzajyapAne gurusomaSukrAH SuBaM vilagnaM divasoraveSca
353957:0:  te: tiTAvarikte karaRe ca Saste yoge ca lagne dviSarI
353958:2:  te: rasaMjYe<q>.</reN> <reN>tatrEva <q>rohiRI cAnurADA ca SastamOzaDa
353959:3:  te: H BakzaRe<q> iti vacanAdrohiRyAmapi.</reN> <reN><q>BEzajyaM sallaGu
353960:3:  te: mfducare mUlaBe dvyaNgalagne SukrendvIjye viwi ca
353961:0:  te: divase cApi tezAM raveSca. SudDe ripPadyunamftigfhe
353962:2:  te: sattiTO nojanerBe<q> su0 ci0.</reN> <reN><q>laGumfducare aSvinIM
353963:1:  te: puzyahastacitrAmfgAnurADArevatISravaRaDanizWASatatAraka
353964:1:  te: svAtIpunarvasuBezu mUle ca BEzajyam OzaDaM prAracyaM
353965:4:  te: BakzitaM vA sat SuBaPaladaM BavatItyarTaH</reN> <reN>tatrAcAha
353966:0:  te: SrIpatiH <q>pOzRadvaye cAditiBadvaye ca hastatraye
353967:2:  te: ca SvavaRatraye ca. mEtre ca mUle ca mfge ca SastaM BEzajya
353968:0:  te: karma pravadanti santaH.<q></reN> <reN>vasizWo'pi hastatraye cASvina
353969:1:  te: pOzRaBezu mitrendumUlezu ca sUryyavAre. BEzajyamukta
353970:1:  te: SuBavAsare'pi<q>.</reN> aTa dvyaNgalagne dvisvaBAvarASizu
353971:3:  te: miTunakanyADanurmInezu satastu SukredvIjye vidi ca
353972:2:  te: SukracandrabfhaspatibuDezu dvisvaBAvalagnasTezu satasu
353973:3:  te: ca punastezAM SukreSvIjyabuDAnAM raveSca divase vAre
353974:0:  te: sattiTO riktAmArahite dine BEzajyaM sat. uktaYca
353975:0:  te: dIpikAyAm <q>dvyaNgodaye gurubuDendusitezu tezAM
353976:0:  te: vAre raveSca suviDO sutiTO suyoge<q>.</reN> aTa ripPadyuna
353977:0:  te: mftigfhe lagnAt dvAdaSasaptAzwamagfhezu SudDezu SuBapApa
353978:0:  te: rahitezu satsu BEzajyaM sat tatra varzaPalapraSnAdinA
353979:0:  te: satyAyurddAyayoge OzaDasevanaM hitamityayaM viSezo
353980:0:  te: DyeyaH. taduktaM SrIpatinA <reN><q>dyUnaSatruniDanavyayaSudDO
353981:2:  te: sadgrehezu nitarAM balavatsu. cAyuzaSca hitakAriRi
353982:0:  te: yoge kIrttitA niyatamOzaDasevA<q>.</reN> <reN>kaSyapo'pi <q>zaw
353983:0:  te: saptAzwAntyaSudDO ca balinaH SuBaKecarAH. AyurdAya
353984:2:  te: kare yoge karttavyA dvyOzaDakriyeti<q>.</reN> aTa janerBe janma
353985:0:  te: nakzatre no BEzajyaM sattaduktaM <reN>dIpikAyAM <q>janmanakzatra
353986:2:  te: gaScandraH praSastaH sarvakarmasu. kzOraBEzajyavAdADvakartta
353987:0:  te: nezu ca varjayet. <q>pI0 DA0.</reN></vn><page>vp6_0309.pdf</page><column>2</column><br/>
353988:0:  te:  %BezajANga% na0 6 ta0. (1)OzaDasya anupeye vastuni Sabdaca0.</1><page>vp6_0311.pdf</page><column>1</column><br/>
353989:1:  te:  %BEkza% na0 <vg>BikzEva tatsamUhO vA</vg> <vkr>aR.</vkr> (1)BikzAyAM (2)BikzAsamUhe
353990:1:  te: ca.</2> <vg>BikzAyAM BavaH</vg> <vkr>tatpratipAdyagranDavyAKyA vA fgayanA
353991:1:  te: aR.</vkr> (3)BikzABave tri0 <vkr>striyAM NIz.</vkr> (4)tatpratipAdaka
353992:1:  te: granDavyAKyAne ca.</4> <reN><q>BikzASanamanudyAgAt prAk kenApya
353993:1:  te: nimantritam. ayAcitaM tu tadBEkzaM BIktavyaM manurabra
353994:0:  te: vIt<q> uSanAH.</reN><page>vp6_0311.pdf</page><column>1</column><br/>
353995:0:  te:  %BEkzacaryyA% strI <vkr>cara-BAve kyap</vkr> 6 ta0. (1)BikzAcaraRe manuH 2/108</1><page>vp6_0311.pdf</page><column>1</column><br/>
353996:0:  te:  %BEkzajIvikA% strI 3 ta0. (1)BikzayA jIvane tri0.</1><page>vp6_0311.pdf</page><column>1</column><br/>
353997:0:  te:  %BEkzava% na0 <vg>BikzUkARAM samUhaH</vg> <vkr>KaRqikA0 aY.</vkr> (1)Bikzu
353998:0:  te: samUhe.</1><page>vp6_0311.pdf</page><column>1</column><br/>
353999:2:  te:  %BEkzya% na0 <vg>BikzARAM samUhaH</vg> <vkr>zyaY.</vkr> (1)BikzAsamUhe.</1> <vkr>BikzE cAturvarRA0 pyaY.</vkr> (2)BikzAyAm.</2><page>vp6_0311.pdf</page><column>1</column><br/>
354000:0:  te:  %BEdika% tri0 <vg>BedaM nityamarhati</vg> <vkr>CedA0 WaY.</vkr> (1)nityaBedanArhe</1><page>vp6_0311.pdf</page><column>1</column><br/>
