132501:0:  te:  %kalaSapotaka% pu0 (1)nAgaBede <reN>`AryyakaScograkaScEva nAgaH kalaSa
132807:0:  te: vat. vyaBicarati tu jYAnaM, jYeyaM na vyaBicarati
132808:0:  te: kadAcidapi. jYeyABAve'pi jYeyAntareBAvAjjYAnasya
132809:0:  te: na hi jYAne'sati jYeyaM nAma Bavati kasyacit
132810:0:  te: suzupte'darSanAt jYAnasyApi suzupte'BAvAjjYeyAjjYAna
132811:0:  te: svarUpasya vyaBicAra iti cenna. jYeyAvaBAsakasya
132812:0:  te: jYAnasyAlokavajjYeyABivyaYjakatvAt svavyaNgyABAve Alo
132813:3:  te: kABAvAnupapattivat suzupte vijYAnABAvAnAnupapatteH
132814:0:  te: na hyanDakAre cakzuzo rUpAnupalabDO cakzuzo'BAvaH
132815:0:  te: SakyaH kalpayitumavEnASikena. vEnASiko jYeyABAve
132816:0:  te: jYAnABAvaM kalpayatyeveti cet? yena tadaBAvaM kalpaye
132817:0:  te: ttasyABAvaH kena kalpyata iti vaktavyam vEnASikena
132818:0:  te: tadaBAvasyApi jYeyatvAjjYAnABAve jYAnABAva iti
132819:0:  te: cet? na, aBAvasyApi jYeyatvAByupagamAdaBAvo'pi
132820:0:  te: jYeyo'Byupagamyate vEnASikEH nityaYca tadavyatiriktaYce
132821:0:  te: jjYAnaM nityaM kalpitaM syAttadaBAvasya ca jYAnAtma
132822:0:  te: katvAdaBAvatvaM vANmAtrameva na paramArTato'BAvatvama
132823:0:  te: nityatvaM ca jYAnasya. na ca nityasya jYAnasyABAvo
132824:0:  te: nAmamAtrADyArope kinnaSCinnam. aTABAvo jYeyo
132825:0:  te: 'pi san jYAnavadatirikta iti cenna tarhi jYeyA
132826:0:  te: BAve jYAnABAvaH jYeyaM jYAnavyatiriktaM na tu jYAnaM
132827:0:  te: jYeyavyatiriktamiti cenna. SabdamAtratvAdviSezAnupapatteH
132828:0:  te: jYeyajYAnayorekatvaYcedaByupagamyate --jYeyaM jYAnavyatiriktaM
132829:0:  te: na jYeyavyatiriktaM jYAnam jYeyavyatiriktaM neti tu
132830:0:  te: SabdamAtrameva tadvahniragnivyatirikto'gnirna vahnivyatirikta
132831:2:  te: iti yadvadaByupagamya jYeyavyatireke  jYAnasya jYeyABAve
132832:0:  te: jYAnABAvAnupapattiH sidDA. jYeyABAve'darSanAdaBAvo
132833:1:  te: jYAnasyeti cenna suzupterityaByupagamAt. vEnASikEraByupaga
132834:1:  te: myate hi suzupte'pi vijYAnAstitvaM, tatrApi jYeyasatvamaByu
132835:0:  te: pagamyate jYAnasya svenEveti cenna Bedasya sidDatvAt
132836:0:  te: sidDaM hyaBAvajYeyavizayasya jYAnasyABAvajYeyavyatirekA
132837:0:  te: jjYeyajYAnayoranyatvam. na hi tatsidDaM mftamivojjIva
132838:0:  te: yituM punaranyaTA karttuM Sakyate vEnASikaSatErapi jYAnasya
132839:0:  te: jYeyatvameveti. tadapyanyena tadapyanyeneti tvatpakze'ti
132840:1:  te: prasaNgaH iti cenna tadviBAgopapatteH. sarvasya yadA hi
132841:0:  te: sarvaM jYeyaM kasyacittadA tadvyatiriktaM jYAnaM jYAna
132842:0:  te: meveti dvitIyo viBAga evAByupagamyate'vEnASikEH
132843:0:  te: na tftIyastadvizaya ityanavasTAnupapattiH jYAnasya sve vA
132844:0:  te: vijYeyatve sarvajYatvahAniriti cet? so'pi dozastasyEvAstu
132845:0:  te: kintannivarhaRenAsmAkamanavasTAdozaSca jYAnasya jYayatvAByupa
132846:0:  te: gamAdavaSyaYcEva vEnASikAnAM jYAnaM jYeyam svAtmanA
132847:0:  te: cAvijYeyatvenanavasTA'nivAryyA. samAna evAyaM doza
132848:1:  te: iti cenna jYAnasyEkatvopapatteH. sarvvedeSakAlapuruzA
132849:0:  te: dyavasTamekameva jYAnaM nAmarUpAdyanekopADiBedAt savi
132850:0:  te: trAdijalAdiprativimbavadanekatayAvaBAsata iti. nA'sO
132851:0:  te: dozaH. taTA cedihedamucyate. nanu SruterihEvAntaH SarIre
132852:0:  te: paricCinnaH kuRqavadaravatpuruza iti, na prARAdikalA
132853:0:  te: kAraRatvAt. na hi SarIramAtraparicCinnasya prARasya
132854:0:  te: SradDAdInAM kalAnAM kAraRatvaM pratipattuM SaknuyAt
132855:0:  te: kalAkAryyatvAcca SarIrasya. na hi puruzakAryyARAM
132856:0:  te: kalAnAM kAryyaM sacCarIraM kAraRakAraRaM svasya puruzaM
132857:1:  te: kuRqavadaramivAByantaraM kuryyAt, bIjavatsyAditi cet.?
132858:1:  te: yaTA bIjakAryyo vfkzastatkAryyaYca PalaM svakAraRakAraRaM
132859:2:  te: bIjamaByantarIkArotyAmrAdi tadvatpuruzamaByantarIkuryyAt
132860:0:  te: SarIraM svakAraRakAraRamapIti cenna anyatvAt sAvaya
132861:1:  te: vatvAcca. dfzwAnte kAraRabIjAdvfkzaPalasaMvfttAnyanyAnyeva
132862:0:  te: vIjAni dArzwAntike tu svakAraRakAraRaBUtaH sa eva puruzaH
132863:0:  te: SarIre'ByantarIkftaH SrUyate. vIjavfkzAdInAM sAvayavatvAcca
132864:0:  te: syAdADArADeyatvaM niravayavaSca puruzaH sAvayavASca kalAH
132865:0:  te: SarIraYca etenAkASasyApi SarIrADAratvamanupapannaM kimu
132866:0:  te: tAkASakAraRasya puruzasya tasmAdasamAno dfzwAntaH
132867:0:  te: kindfzwAntena vacanAt syAditi cenna vacanasyAkAraka
132868:0:  te: tvAt. na hi vacanaM vastuno'nyaTAkaraRe vyApriyate
132869:0:  te: kintarhi yaTABUtArTAvadyotane. tasmAdantaH SarIra ityetadvacanaM
132870:0:  te: aRqasyAntarvyometivacca drazwavyam. upalabDinimittatvAcca
132871:0:  te: darSanaSravaRamananavijYAnAdiliNgErantaH SarIre paricCinna
132872:0:  te: iva hyupalaByate cAta ucyate--antaH SarIre somya!sa
132873:0:  te: puruza iti. na punarAkASakAraRaM san kuRqavadaravacCa
132874:0:  te: rIraparicCinna iti manasApIcCati vaktuM mUQo'pi
132875:1:  te: H kimuta pramARaBUtA SrutiH. yasminnetAH zoqaSa kalAH
132876:2:  te: praBavantItyuktaM puruzaviSezaRArTa kalAnAM praBavaH, sa cAnyo
132877:1:  te: 'rTo'pi SrutaH kena krameRa syAdityata idamucyate. cEtana
132878:0:  te: pUrvikA ca sfzwirityevamarTe ca puruzaH zoqaSakalaH pfzwo
132879:0:  te: yo BAradvAjena, sa IkzAYcakre IkzaRaM darSanaM cakre kftavA
132880:0:  te: nityarTaH. sfzwiPalakramAdivizayaM kaTamityucyate kasmin
132881:0:  te: kartfviSeze dehAdutkrAnto BavizyAmyahameva vA kasminvA
132882:0:  te: SarIre pratizWite'haM pratizWAsyAmi pratizWitaH syAmityarTaH
132883:1:  te: '. </vn> <vn><reN>`sa prARamasfjata prARAcCradDAM KaM vAyurjyotirApaH
132884:0:  te: pfTivIndriyam. mano'nnamannAdvIryaM tapo mantrAH karma
132885:1:  te: lokA lokezu ca nAma ca' upani
132886:2:  te: nanvAtmA'karttA, praDAnaM kartf, ataH puruzATaM prayo
132887:0:  te: janamurarIkftya praDAnaM pravarttate mahadAdyAkAreRa, tatreda
132888:0:  te: manupapannaM puruzasya svAtantryeRekzApUrvvakaM kartftvavacanaM
132889:0:  te: satvAdiguRasAmye praDAne pramARopapanne sfzwikarttari sati
132890:0:  te: ISvarecCAnuvarttizu paramARuzu satsvAtmano'pyekatvena
132891:0:  te: kartftve sADanABAvAdAtmana AtmanyanarTakartftvAnupapatteSca
132892:0:  te: na hi cetanAvAn budDipUrvvakAryyAtmano'narTaM kuryyAt
132893:0:  te: tasmAtpuruzArTena prayojanenekzApUrvvakamiva niyatakrameRa
132894:0:  te: pravarttamAne'cetane praDAne cetanavadupacAro'yaM--sa IkzAYcakre
132895:0:  te: ityAdiH. yaTA rAjYaH sarvArTakAriRi Bftye rAjeti
132896:0:  te: iti cet? nAtmano BoktftvavatkartftvopapatteH. yaTA sANKyasya
132897:0:  te: cinmAtrasyApariRAmino'pyAtmano BoktftvaM tadvadvedavAdi
132898:0:  te: nABIkzAdipUrvakaM jagatkartftvamupapannaM SrutiprAmARyAt
132899:0:  te: tattvAntarapariRAmAdAtmano'nityatvASudDatvAnekatvanimitta
132900:0:  te: cinmAtrasvarUpavikriyAtaH puruzasyAtmanyeva Boktftve
132901:1:  te: cinmAtrasvarUpavikriyA na dozAya. BavatAM punarvedavAdinAM
132902:0:  te: sfzwikartftve tattvAntarapariRAma evetyAtmano'nityatvAdi
132903:0:  te: sarvadozaprasaNga iti cenna, ekasyApyAtmano'vidyAvizayanAma
132904:0:  te: rUpopADyanupADikftaviSezAByupagamAdavidyAkftanAmarUpo
132905:0:  te: pADikfto hi viSezo'Byupagamyate AtmanobanDamokzAdi
132906:2:  te: SAstrakftasaMvyavahArAdyuparamArTaM' paramArTato'nupADikftaYca
132907:1:  te: tattvamekamevAdvitIyamupAdeyaM sarvatArkikabudDvyanavagAhyamaBaya
132908:1:  te: M Sivamizyate na tatra kartftvaM BoktftvaM vA kriyAkAraka
132909:2:  te: PalaYca syAdadvEtatvAdatsarvaBAvAnAm. sANKyAstvavidyADyA
132910:0:  te: ropitameva puruze kartftvaM kriyAkArakaM PalaYceti kalpa
132911:0:  te: yitvA''gamabAhyatvAtpunastatastrasyantaH paramArTata eva
132912:0:  te: BoktftvaM puruzasyecCanti tattvAntaraYca praDAnaM puruzAt
132913:1:  te: paramArTavastuBUtameva kalpayanto'nyatArkikanirAkftabudDivizayAH
132914:0:  te: santo vihanyante. taTetare tArkikAH sANKyErityevaM para
132915:0:  te: sparavirudDArTakalpanAt AmizATina iva prARino'nyonyaM
132916:2:  te: viruDyamAnA arTadarSitvAt paramArTatattvAddraramevApakfzyante
132917:0:  te: 'tastanmatamanAdftya vedAntArTatattvamekatvadarSanaM pratyAdara
132918:0:  te: vanto mumukzavaH syuriti tArkikamate dozadarSanaM kiYciducyate
132919:0:  te: 'smABiH na tu tArkikatAtparyyeRa taTEtat atroktam. viva
132920:0:  te: dan Ke'vanikzipya viroDodBavakAraRam. tEH saMrakzita
132921:1:  te: sadbudDiH suKaM nirvvAti vedadit'.</reN> <reN>kiYca--Boktftvakartf
132922:0:  te: tvayorvikriyayorviSezAnupapattiH. kA nAmAsO kartf
132923:0:  te: tvAjjAtyantaraBUtA BoktftvaviSizwA vikriyA yato BoktEva
132924:1:  te: puruzaH kalpyate na karttA. praDAnantu karttreva na Boktiti
132925:0:  te: nanUktaM puruzaScinmAtra eva svAtmasTo vikriyate BuYjAno'
132926:0:  te: nantAntarapariRAmena. praDAnantu tattvAntarapariRAmena
132927:0:  te: vikriyate'to'nekamaSudDamacetanaYcetyAdiDarmmavattadviparItaH
132928:0:  te: puruzaH. nA'sO viSezo vAqmAtratvAtprAgBogotpatteH
132929:0:  te: kevalacinmAtrasya puruzasya BoktftvaM nAma viSezo Bogo
132930:0:  te: tpattikAle cejjAyate nivftte ca Boge punizastadvAdaSe
132931:2:  te: petaScinamAtra eva BavatIti cenmahadAdyAkAreRa ca pariRamya
132932:2:  te: praDAnaM tato'petya punaH praDAnaM svarUpeRAvatizWata iti
132933:0:  te: asyAM kalpanAyAM na kaScidviSeza iti vANmAtreRa
132934:0:  te: praDAnapuruzayorviSizwavikriyA kalpyate. aTa BogakAle
132935:0:  te: 'pi cinmAtra eva prAgvatpuruza iti cet? na tarhi
132936:0:  te: paramArTato BogaH puruzasya. BogakAle cinmAtrasya
132937:0:  te: vikriyA paramArTEva, tena BogaH puruzasyeti cenna praDAna
132938:0:  te: syApi BogakAle'vikriyatvAdBoktftvaprasaNgaH. cinmAtrasyEva
132939:0:  te: vikriyA Boktftvamiti cedOzRyAdasADAraRaDarmmavatAmagnyA
132940:1:  te: dInAmaBoktftve hetvanupapattiH. praDAnapuruzayo
132941:0:  te: ryugapadBoktftvamiti cenna praDAnasya pArArTyAnupapatteH
132942:1:  te: na hi BoktordvayoritaretaraguRapraDAnaBAva upapadyate prakA
132943:1:  te: SayorivetaretaraprakASane. BomaDarmmavati satvANgini
132944:3:  te: cetasi purusya cEtanyapratibimbAdayo'vikriyasya puruzasya
132945:0:  te: Boktftvamiti cenna puruzasya kasyApanayanArTaM mokzasADanaM
132946:1:  te: SAsaraM praRIyate'vidyADyAropitAnarTApanayanAya SAstra
132947:2:  te: prayanamiti cet? paramArTataH puruzo BoktEva na karttA
132948:1:  te: praDAnaM kartreva na Boktf paramarTasadvastvantaraM puruzAccetIyaM
132949:0:  te: kalpanA''gamabAhyA vyarTA nirhetukA ca iti nAdarttavyA
132950:0:  te: mumukzuBiH. ekatve'pi SAstrapraRayanAdyAnarTakyamiti
132951:2:  te: cetra aBAvAt. na hi SAstrapraRetrAdizu tatPalArTizu ca
132952:0:  te: SAstrasya praRayanamanarTakaM sArTakaYceti kalpanA syAt. na
132953:0:  te: hyAtmEkatve SAstrapraRetrAdayastato'BinnAH santi tadaBAve
132954:0:  te: evaM vikalpanEvAnupapannAH. aByupagate AtmEkatve pramA
132955:1:  te: RArTaScAByupamato BavatA yadAtmEkatvamaByupagacCatA. tada
132956:0:  te: Byupagame ca kalpanAnupapattimAha SAstram. <reN>`yatra tvasya
132957:4:  te: sarvaBAtmEvABUttatkena mA paSyet? `ityAdiSAstrapraRayanAdyupa
132958:1:  te: patiYcAha.</reN> <reN>anyatra paramArTavastusvarUpAdavidyAvizaye `yatra
132959:1:  te: hi dvEtamiva BavatItyAdi' vistarato vAjasaneyake
132960:0:  te: viBakte vidyA'vidye parApare ityAdAveva SAstrasyAto
132961:0:  te: na tArkikavAdaBawapraveSaH vedAntarAjapramARabAhugupte
132962:1:  te: ihArma katvavizaya iti .</reN> etenAvidyAkftanAmarUpAdyupADi
132963:0:  te: kftAnekaSaktisADanakftaBedavattvAdbrahmaRaH sfzwyAdikartftve
132964:0:  te: sADanAdyaBAvo dozaH pratyukto veditavyaH parErukta AtmA
132965:0:  te: narTakartftvAdidozaSca. yastu dfzwAnto rAjYaH sarvArTakAriRi
132966:0:  te: karttftvAdyupacArAdrAjA kartteti so'trAnupapannaH. <reN>`sa IkzA
132967:1:  te: Ycakra' iti SrutermuKyArTabADanAtpramARaBUtAyAH tatra hi
132968:0:  te: gORI kalpanA. Sabdasya, yatra muKyArTo na samBavati. iha
132969:0:  te: tvacetanasya muktabadDapuruzaviSezApekzayA kartf karmmadeSakAla
132970:0:  te: nimittApekzayA ca banDamokzAdiPalArTA niyatA puruzaM
132971:0:  te: prati pravfttirnopapadyate. yaToktasarvajYeSvarakartftvapakze
132972:0:  te: tUpapannA, ISvareREva sarvADikArI prARaH puruzeRa sfjyate
132973:0:  te: kaTaM? sa puruza uktaprakAreRekzitvA prARaM 1 hiraRya
132974:0:  te: garBAKyaM sarvaprARikaraRADAramantarAtmAnamasfjata sfzwavAn
132975:1:  te: ataH prARAt SradDAM 2 sarvaprARinAM SuBakarmmapravfttihetu
132976:0:  te: BUtAm. tataH karmmaPalopaBogasADanADizWAnAni kAraRa
132977:0:  te: BUtAni mahABUtAnyasfjata. KaM 3 Sabda guRaM vAyuM 4svena
132978:0:  te: sparSena kAraRaguRena ca viSizwaM dviguRam. taTA jyotiH
132979:0:  te: svena rUpeRa pUrvvAByAYca SabdasparSAByAm viSizwaM triguRaM
132980:0:  te: taTA''po 6rasena guRenAsADAraRena pUrvvaguRAnupraveSena
132981:1:  te: caturguRAH. taTA ganDena pUrvaguRAnupraveSena paYcaguRA
132982:0:  te: pfTivI7. taTA tEreva BUtErArabDamindriyaM 8 dviprakAraM
132983:0:  te: budDyarTaM karmmArTaYca daSasaNKyam. tasya ceSvaramantaH sTaM
132984:0:  te: saMSayasaNkalpAdilakzaRaM manaH 9. evaM prARinAM kAryyaM
132985:1:  te: karaRaYca sfzwvA tatsmityarTaM vrIhiyavAdilakzaRamannam
132986:0:  te: tataScAnnAdadyamAnAdvIryyaM 11 sAmarTyaM balaM sarvakarmma pravftti
132987:0:  te: sADanam. tadvIryyavatAYca prARinAM tapaH 12 viSudDisADanaM
132988:0:  te: saNkIryyamARAnAM mantrA 13 stapoviSudDAntarvahiH karaReByaH
132989:0:  te: karmasADanametA fgyajuH sAmATarvANgirasaH. tataH karmma
132990:0:  te: agnihotrAdilakzaRam. tato lokAH 15 karmmaRAM Palam
132991:0:  te: tezu ca sfzwAnAM prARinAM nAma 16 ca devadatto yajYadatta
132992:0:  te: ityAdi. evametAH kalAH prARinAmavidyAdidozavIjA
132993:0:  te: pekzayA sfzwAstEmirikadfzwisfzwA iva dvicandramaSaka
132994:1:  te: makzikAdyAH svapradfksfzwA iva ca sarve padArTAH punastasmi
132995:1:  te: nneva puruze pralIyante hitvA nAmarUpAdiviBAgam' BA
132996:0:  te: sa yaTemA nadyaH syandamAnAH samudrAyaRAH samudraM prApyAstaM
132997:0:  te: gacCanti, Bidyete tAsAM nAmarUpe samudra ityevaM procyate
132998:0:  te: evamevAsya paridrazwurimAH zoqaSa kalAH puruzAyaRAH
132999:0:  te: puruzaM prApyAstaM gacCanti, Bidyete tAsAM nAmarUpe puruza
133000:0:  te: ityevaM procyate, sa ezo'kalo'mfto Bavati, tadeza SlokaH
