128501:0:  te:  %karmmaRya% tri0 karmmaRA sampAdi yat. 1 karmmaRA sampanne SO
128805:0:  te: vAkyasya nirAkANkzatApattistatra tyajigamyorviBAgAdyavacCinna
128806:0:  te: kriyAlakzakatvenEvAnvayayogyatvAsamBavAt. dvitIyAsAkANkza
128807:0:  te: tumantaDAtutvaprayukta eva ca DAtUnAM sakarmakatvavyavadeSo natu
128808:0:  te: PalAvacCinnakriyAvAcitvaprayuktaH jYApraBftAvavyAptatvAt
128809:0:  te: smftyarTaDAtUnAM karmaRi zazWyA iva dvitIyAyA api
128810:0:  te: sADutvAt. evaYca grAmaM gacCati taruM tyajatItyAdO grAma
128811:2:  te: saMyogajanakakriyAvAMstaruviBAgajanakakriyAvAnityAkAraka
128812:0:  te: eva boDo natu grAmasaMyogajanakasaMyogAvacCinnakriyAvAMsta
128813:0:  te: ruviBAgajanakaviBAgAvacCinnakriyAvAnityAkArakaH, saMyo
128814:1:  te: gaviBAgayoruBayaTABAnasya nIlaGawajanakadaRqavAnityAdO
128815:0:  te: GawAderiva nirAkANkzatvenAsamBavAdanuBavabADitatvAcce
128816:0:  te: tyAhuH. pare tu saMyogaH kriyA ca dvayameva pratyekaM
128817:2:  te: gamiSakyaM tayorjanyajanakaBAvastu vAkyArTamarTyAdayA BAsate
128818:0:  te: evArTayoranyayogavyavacCedayoriva, gamyarTayoH saMyogakriya
128819:0:  te: yormiTa eva sAkANkzatvAcca nEkamAtre gamiprayogaH. puzpa
128820:0:  te: vantapade candratvasUryyatvAByAmiva viBinnarUpAByAM prakfte'pi
128821:2:  te: saMyogatvakriyAtvAByAM gamaDAtorekaSaktisvIkAre'pi na
128822:0:  te: kzatiH. iyAMstu viSezo yastatra sUraSaSinormiTonAnvayaH
128823:4:  te: prakfte tu saMyogakriyayostaTeti taTAca grAmaM gacCatItyatra
128824:2:  te: dvitIyAyA ADeyatvaM pratiyogitvaM vArTastena tadanvi
128825:0:  te: tasya saMyogasya kriyAyAmanvayAt grAmavfttistatprati
128826:0:  te: yogiko vA yaH saMyogastadviSizwakriyAvAnityAraka
128827:0:  te: statra boDaH, taruM tyajatItyatrApyADeyatvamabaDitvaM
128828:1:  te: vA dvitIyArTastena tadanvitasya DAtvarTaviBAgasya DAtvarTA
128829:0:  te: ntare kriyAyAmanvayAttaruvfttistadavaDikovA yoviBAga
128830:1:  te: stadviSizwakriyAvAnityAkArakoboDaH saMyogAdivESizwyaYca
128831:1:  te: janakatvasvASrayavfttitvoBayasambanDenEva prAgiva grAhyamato
128832:0:  te: nAtiprasaNgaH sakarmakatvamapi DAtoH svArTaPalAvacCinna
128833:0:  te: svArTakriyAnvayaboDakatvaM jAnAtItyAdO sakarmakatvavyavahA
128834:2:  te: roBAkta ityAhuH (PalavyApArayorDAturityanusAriRaH)
128835:0:  te: taRqulaM pacatItyatra rUpAdiparAvfttiPalakatejaH
128836:0:  te: saMyogAvacCinnakriyA pacerarTaH tannivizwe ca nirukte
128837:0:  te: tejaH saMyoge taRqulasyADeyatvenAnvayaH paramARuM pacatI
128838:0:  te: tyapi prayujyataeva ataeva <q>svatantrAH paramARavaH pacyante
128839:1:  te: iti kiraRAvalyAmAcAryyAH. odanaM pacatItyAdO
128840:0:  te: tu taRqulAdAvodanAdipadasya lakzaRA tatra kriyAyAmanvi
128841:0:  te: tamanukUlatvaM dvitIyArTa ityapi kaScit. tfRaM CinattI
128842:0:  te: tyAdAvAramBakasaMyogaviroDiviBAgAvacCinnakriyA Cide
128843:0:  te: rarTastannivizwe ca saMyoge viBAge vA svAvayavavfttitva
128844:2:  te: sambanDena tfRAderanvayaH. puzpeRa vizRuM yajata ityatra
128845:1:  te: prItyavacCinnasamantrakadravyatyAgoyajerarTaH prItO vizRorADe
128846:0:  te: yatvena dravye ca puzpAderaBedenAnvayastena vizRu nizWaprIti
128847:0:  te: heturyyomantrakaraRakaH puzpABinnadravyatyAgastadvAn ityAkArastatra
128848:0:  te: boDaH, svatvaDvaM sajanakecCAparyyavasannasya tyAgasyEkadeSe sva
128849:0:  te: tvaeva vA puzpAderADeyatve na tatrAnvayastena dravyeRa vizRuM
128850:2:  te: yajataityAdO dravyasya dravyABinnatvena SAbdAsattve'pi na
128851:0:  te: kzatiH. pitaramArADayati upAste pUjayatItyAdO gOra
128852:0:  te: vaprayuktaprItyavacCinnakriyA DAtvarTastannivizwayorgOrava
128853:0:  te: prItyoH krameRa vizayatvADeyatvAByAM pitrAderanvayastena
128854:0:  te: pitfgocaragOvaraprayuktA yA pitfnizWaprItihetukriyA tadvA
128855:0:  te: nityevaM tatra budDiH. gOravaM punarArADyatvAvagAhI jYAna
128856:0:  te: praBedoyeyaM Baktirityucyate. pitrAdisevAyASca mantraka
128857:2:  te: raRakatvABAvAnna tatra pitaraM yajataityAdikaH prayogaH
128858:3:  te: paramAtmAnamupAste ityAdO tu gOravaprayuktakriyAmAtre
128859:0:  te: DAtulakzaRA nAtaH parameSituH prItivirahAdayogyatvA
128860:6:  te: pattiH. GftaM juhotItyAdO vahyA(hna)dikaraRakapatanAva
128861:0:  te: cCinnamantrakaraRakakriyA huDAtorarTaH, prokte ca patane
128862:0:  te: GftasyADeyatvenAnvayastenAgnyADikaraRakasya Gftavfttipatana
128863:0:  te: syAnukUlamantrakaraRakakriyAvAnityevaM tatra boDastAdfSI
128864:0:  te: ca kriyA saGftasya karAdeH prasAraRanyubjIkaraRAdireva
128865:0:  te: ataeva GftAdeH parityAgitvavirahAdftvigAderna yazwftvaM
128866:0:  te: kintu hotftvameva. vahnO juhotItyatra saptamyantasyArTona
128867:0:  te: DAtvarTanivizwe patane'nveti vahnivfttitvaviSizwapatane
128868:1:  te: tadvfttitiNrTasyAnvaye nirAkANkzatApatteH parantu tadavacCinna
128869:5:  te: kriyAyAmeva. pratimAdO GftAdisnapanaM mantrakaraRakamapi
128870:1:  te: nAgnyaDikaraRakaM vahnO Gftasya prakzepamAtramagnyaDikaraRa
128871:0:  te: katatpatanAnukUlamapi na mantrakaraRakamatastaduBayaM na homaH
128872:0:  te: prAjApatye'pi home mAnasaeva mantraH karaRam. yadvA vahni
128873:0:  te: saMyogAvacCinnapatanAnukUlamantrakaraRakakriyEva juhotyarTa
128874:0:  te: stena GftaM juhotItyatra vahnisaMyogajanakaM yad Gftasya patanaM
128875:0:  te: tadanukUlamantrakaraRakakriyAviSezavAnityAkArakoboDaH
128876:0:  te: na cEvaM huDAtvarTatAvacCedakIBUtasaMyogAtmakaPalaSAlitvena
128877:0:  te: vahnyAdestadarTakarmmatayA vahniM juhotItyAdikaprayogA
128878:0:  te: pattiH sAkzAdDAtvarTatAvacCedakIBUtasyEva PalasyAnvayinaH
128879:0:  te: karmatvAdanyaTA gagane lozwramutkzipatItyAdO gaganA
128880:2:  te: derutkzepaRAdikarmatAyAdurvvAratApatteH UrdDasaMyogaPalaka
128881:0:  te: kriyAvacCinnavyApArasyEvotkzepaRatvAt. na cotkzepaRatvA
128882:0:  te: dikaM jAtireva tatra DAtvarTatAvacCedakam, praveSanatvA
128883:0:  te: dinA saNkareRa tasya jAtitvAyogAt lozwrAdestatkarmatvA
128884:0:  te: prasaNgAcca. ataeva paramparayA duhAdyarTatAvacCedakIBUtabahiH
128885:0:  te: kzaraRaSAlitvena payaH praBftestatkarmatvasampattyarTam <reN><q>akaTi
128886:0:  te: taYca<q></reN> iti sUtrAntarasya praRayanamapi pARineH saNgacCate
128887:0:  te: DanaM pratigfhRAtItyatra puRyArTakadAnajanyasvatvasya janakaH
128888:2:  te: svIkAraH pratigraha iti PalIBUtasvatvavattayA Danasya karmatvaM
128889:0:  te: vikrayAderdAnaviSezatve'pi na tasya puRyajanakatvamatastallabDasya
128890:0:  te: svIkAro na pratigrahaH. grAmaM krIRAtItyatra mUlyadAna
128891:0:  te: janyasvatvasya janakaH svIkAraH, svatvajanakaM mUlyadAnameva
128892:0:  te: vA krayastatPale ca svatve grAmasyADeyatvenAnvayastena
128893:0:  te: grAmanizWasya mUlyadAnajanyasvatvasyAnukUlasvIkAravAn, grAma
128894:0:  te: nizWaM yatsvatvaM tadanukUlamUlyadAtAveti tatra boDaH. grAmaM
128895:0:  te: vikrIRAtItyatra mUlyagrahaRajanyasya parasvatvasya janakamUlya
128896:0:  te: grahaRameva vA vikrayastena grAmanizWasya mUlyagrahaRajanyapara
128897:0:  te: svatvasyAnukUloyogrAmasya tyAgastadvAn, grAmanizWaM yat
128898:0:  te: parasvatvaM tadanukUlamUlyagrahaRavAniti vA tatra boDaH
128899:0:  te: mUlyaYca paRapurARAdikameva rAjanirdizwaM natu dravyamAtraM
128900:0:  te: tena tilAdIn dattvA mAzAdInAM vinimaye viprARAM tila
128901:0:  te: vikrayAdidozasyAnavakASa ityuktameva. narakaM patatItyatra
128902:2:  te: BogAvacCinnaM pAtityameva parerarTastena narakaBogAnukUlapA
128903:0:  te: tityavAnityAkArakastatra boDaH. narakapatita iti dvitIyA
128904:0:  te: tatpuruzodAharaRamapi vfttikArasya, etadaBiprAyakameva
128905:1:  te: patanakriyAyAstaTAtve tu narake patatItyAdireva yuktaH
128906:0:  te: prayogaH. svargegacCatItyAdO svargAdipadasyeva prakfte narakapada
128907:1:  te: syApi taddeSaparatvAt. DanaM laBate prApnItItyAdO svatvA
128908:0:  te: vacCinnovyApAroDAtvarTaH, tannivizwe ca svatve DanAderADeya
128909:1:  te: tvenAnvayaH. nanu yagantaDAtvarTaviSezyatApannastiNarToyadi
128910:0:  te: karmatvaM tadA duhAdermuKyakarmaRyavyAptiH. gopena gOH pa
128911:2:  te: yoduhyata ityAdO gopakartfkavyApArajanyaM yat payaH karmaka
128912:3:  te: mocanaM tadvatI gOrityevamanvaye mocanabahiH kzaraRordvayo
128913:0:  te: reva duhaDAtvarTatAvacCedakaPalatve'pi gORaM yanmocanarUpaM
128914:0:  te: tasyEva karmaRastiNAdyErboDanAt <reN><q>gORaM karma duhAdiByasti
128915:0:  te: NAdyEraBiDIyate<q></reN> iti vyutpatterataH prakArAntareRa karmatvaM
128916:0:  te: nirvvakti. yasya DAtoryyadarTe yaH prakArIBUya BAsate
128917:0:  te: dvitIyayA smArito'rTastadvA tatkarmatocyate. yadDAtoryA
128918:1:  te: dfSArTodvitIyayA yAdfSaH svArTo'nuBAvyate tadDAtvarTakri
128919:2:  te: yAyAM tatkarmatvam. tacca gAM dogDi paya ityAdiprayogAt
128920:0:  te: payaH praBfterapyakzatam. pAkaM kurute ityAdO yatne prakArI
128921:0:  te: BUtamapi vizayatvaM na yaterarTe. Bavate grAmamityAdO BUDA
128922:0:  te: tvarTe prAptO taTABUtamapi saMyogatvAdikaM na tadarTotpattO
128923:0:  te: prakAraH. cOraM rujan payaH parizkurvvannityAdAveva
128924:0:  te: rujAdiDAtvarTahiMsAderdvitIyArTa karmatAyAM viSezyatvaM
128925:1:  te: sulaBaM SatfSAnajAdernizWAdigaRAntargatatvena tadantaDAtoH
128926:0:  te: karmaRi zazWyAH pratizidDatvAt. divaH karaRasya karmatvopa
128927:0:  te: deSAt akzAn dIvyatItyatra dvitIyArTaH karaRatvamapi
128928:0:  te: gORakarmatvameva, ataevAkzA dIvyante dyUtakArErityAdO
128929:1:  te: krIqAkaraRatAyAmeva vihItAstiNAdikarmapratyayAH. duhA
128930:0:  te: dayastu PalAvacCinnakriyAhetuvyApAravAcitvAdeva dvikarma
128931:2:  te: kAstena gAM payodagDi gopa ityatra duhermocanAnukUla
128932:2:  te: vyApAro'rTa iti tatratyamocane gorADeyatvena payasaH
128933:0:  te: karmatvenAnvayAt payaH karmatAkaM yadgovfttimocanaM tada
128934:0:  te: nukUlavyApAravAn ityAkArakaboDastatra bahiH kzaraRA
128935:0:  te: vacCinnavyApAromocanaM tadanukUlavyApArodohanamatoDAtva
128936:0:  te: rTatAvacCedakIBUtaM bahiHkzaraRarUpaM PalamAdAya paya
128937:0:  te: somocanAtmakaYca tadAdAya goH karmatvamavaseyam. evaM
128938:0:  te: SizyaM DarmaM vadati, vakti, brUte, upadiSatyAcazwe, ityAdO
128939:1:  te: pratipatyavacCinnavyApArovadapraBftiDAtvarTa iti tannivizwAyAM
128940:0:  te: pratipattO SizyasyADeyatvena Darmasya ca vizayatvenAnva
128941:0:  te: yAdDarmavizayiRI yA SizyanizWA pratipattistadanukUla
128942:0:  te: vyApAravAn ityAkArakoboDastAdfSavyApAraSca DarmaH
128943:0:  te: sevyatAmityAdikogurvvAdyaBilApaH. SatruM SatAni
128944:1:  te: jayatItyatra grahaRAvacCinnaparABavojayaterarTaH taTA
128945:0:  te: ca Satasya grahaRAnukUloyaH SatrukarmakaparABavastatka
128946:0:  te: rttetyevaM tatra boDaH. parABavaSca tiraskAraH. prajAH
128947:4:  te: SataM daRqayarTatItyatra grahaRAvacCinnaSAsanaM daRqyaTastaTA
128948:1:  te: ca SatagrahaRAnukUlaM yat prajAnAM SAsanaM tat karttatyevaM
128949:0:  te: tatra boDaH. SAsanaM niyantraRam. suDAM samudraM maTnA
128950:0:  te: tItyatra utTAnAvacCinnonmanTanaM DAtvarTastena suDotTAnA
128951:0:  te: nukUlaM yatsamudrasyonmanTanaM tatkarttetyarTaH. unmanTana
128952:1:  te: mAloqanam. pAnTaM pAnTAnaM pfcCatItyatra aBiDAnA
128953:0:  te: vacCinnavyApAraH pfcCA, taTAca pAnTanizWaM yatpaTo'BiDA
128954:1:  te: naM tadanukUlavyApAravAnityevaM tatra boDaH. aBiDAna
128955:0:  te: maBilApastadanukUlavyApAraSca kena paTA gantavyamityAdi
128956:0:  te: praSnaH. nfpamarTaM prArTayate yAcate Bikzate ityAdO
128957:0:  te: dAnAya preraRaM DAtvarTastaTA ca nfpanizWaM yadarTasya
128958:0:  te: dAnaM tatpreraRAvAnityarTaH. preraRA pravarttanA, sA
128959:0:  te: ca dIyatAmityAdyaBilAparUpA. grAmamajAM bahati
128960:0:  te: nayatItyAdO gatyavacCinnavyApArovahipraBfterarTastena
128961:0:  te: grAmakarmakaM yadajAdinizWaM gamanaM tadanukUlavyApAravAnitye
128962:2:  te: vaM tatra boDastAdfSavyApAraH prakfte galarajjkarzaRAdiH
128963:0:  te: putraM DarmamanuSAstItyAdAvanuSAsanaM deSanayA pravarttanA, taTA
128964:1:  te: ca putranizWasya deSanayA pravarttanasyAnukUlavyApAravAnityarTaH
128965:0:  te: taTAviDovyApAraH sanDyAM viDehi samiDamADehItyAdyupade
128966:0:  te: SarUpaH. SAKAM grAmAkarzatItyatra gatihetukarzaRaM DAtva
128967:2:  te: rTastena grAmakarmakaM yacCAsvAgamanaM tadanukUlavikarzaRavA
128968:1:  te: nityarTaH. vikarzaRaM namrIkaraRam. gAmavaruRadvi vraja
128969:1:  te: mityatra gatipratiroDahetvAvaraRamavaruDerarTastena mogati
128970:0:  te: pratiroDasyAnukUlaM yadvrajasyAvaraRaM tatkftimAnityanvayaDIH
128971:1:  te: vfkzaM PalAnyavacinoti ityatra CidAheturviGawwanaM cino
128972:0:  te: terarTastaTA ca PalakarmakacCidAnukUlaM yadvfkzasya viGawwanaM
128973:0:  te: cAlanaM tadvAnityevaM tatra boDaH. utkzipatyAdikastu
128974:0:  te: DAtuH saPalakriyAhetuvyApAravAcyapi na duhAdiH
128975:2:  te: yadutmaBiyuktEH <q>duhirvadatyarTajidaRqimanTipfcCArTanArTO
128976:0:  te: nayanArTaSAsU. kfzIruDiSciY ca taTArTavfttO dvikarma
128977:2:  te: ko'yaM kaTito duhAdiH.<q></reN> taTArTavfttO niruktatatta
128978:0:  te: darTavfttO. <reN><q>gatiBojanaDIprAptiSabdArTaDrOvyaDAtuzu
128979:1:  te: kartftvaM hetuvihitaRyantezvetezu karmateti<q> SAbdikasmfteH
128980:0:  te: gopAn gamayati, dvijAn gamayati, dvijAn Bojayati
128981:0:  te: gurUnanujYApayati, SizyAn pAWayati, sutAn snApayatI
128982:1:  te: tyAdO mUlaDAtvarTasya kartftvalakzaRaM gORameva karmatvaM
128983:0:  te: dvitIyArTaH. taTA ca gopakartfkagatyanukUlavyApAravA
128984:0:  te: nityAkArastatra boDaH. putrAn prItimprApayatItyAdO
128985:1:  te: ca prAptirna gatiH cEtro grAmaM BAvayate, grAmasya BAvaka
128986:3:  te: ityAdO prAptyarTasya BavateH svArTavihitaRyantasya karttuH
128987:7:  te: karmatAnirAsAya Ricohetuvihitatvamanusftam. <reN><q>hiMsAyA
128988:0:  te: meva BujyarTaBakzerevaM vaherapi. Ryantasya karttuH karmatvaM
128989:0:  te: kriyayA vAhanaM yadi<q> iti</reN> smaraRAdBakzayati mUzikAn mArjA
128990:0:  te: ram, Bakzayati latAM CAgamityAdereva BakzeH karttari karmatA
128991:1:  te: na tu BakzayatyodanaM BftyenetyAdO, Bakzayati prajAH pari
128992:0:  te: janEH kunfpa ityAdO tu na BojanaM BakzerarTaH. vAha
128993:0:  te: yati raTamaSvAn sAraTiH vAhayati goRIM vfzaBAn vA
128994:2:  te: hika ityAdAviva vAhayati BAraM Bftyena Danika ityAdO
128995:0:  te: svacezwayA vAhakona DanikAdiH. <reN><q>hfkrostu karttuH ka
128996:0:  te: rmatvaM Ryantatve syAdviBAzayA aBivAdidfSorevamA
128997:3:  te: tmanepada izyate<q></reN> ityanuSizwerhArayati kArayati vA pawaM
128998:2:  te: kuvindenetyatreva kuvindamityato'pi kuvindasya gORa
128999:0:  te: karmatvAvagamaH. taTA aByavahArayatyodanaM tanayaM tanayena
129000:4:  te: vA jananI, vikArayati cittaM cittena vA vasanta ityapi
